customer_id,driver_id,persona_type,scenario_id,scenario_variant,simulation_seed,period_role,service_month,month,service_date,trip_id,trip_sequence,trip_start_time,trip_end_time,start_gps_x,start_gps_y,end_gps_x,end_gps_y,zone_label,destination_type,destination_label_ko,trip_purpose,trip_distance_km,trip_duration_min,avg_speed,max_speed,night_drive_flag,speeding_count,harsh_accel_count,harsh_brake_count,sharp_turn_count,stop_count,night_driving_signal,sudden_braking_signal,route_deviation_signal,fatigue_indicator,risk_signal_codes,monthly_scenario_event_id,scenario_phase,synthetic_context_note_ko
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-02,baseline_trip_cust_001_0001,1,2025-11-02 15:20:00,2025-11-02 16:33:18,126.978039,37.566533,126.981562,37.5588,core,market,마트,생활 장보기,27.24,73.3,22.3,39.3,0,0,0,0,0,7,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-04,baseline_trip_cust_001_0002,2,2025-11-04 16:10:00,2025-11-04 17:37:36,126.98132,37.559013,126.978244,37.566452,core,market,마트,생활 장보기,26.73,87.6,18.3,34.6,0,0,0,0,0,8,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-07,baseline_trip_cust_001_0003,3,2025-11-07 14:10:00,2025-11-07 14:50:36,126.977806,37.566185,126.990729,37.577245,buffer,clinic,병원,진료/검진,18.73,40.6,27.7,53.2,0,1,0,0,0,5,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-09,baseline_trip_cust_001_0004,4,2025-11-09 14:50:00,2025-11-09 15:50:18,126.991123,37.577309,126.978351,37.566595,core,clinic,병원,진료/검진,25.63,60.3,25.5,46.2,0,0,0,0,0,7,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-13,baseline_trip_cust_001_0005,5,2025-11-13 13:15:00,2025-11-13 14:38:54,126.97828,37.566629,126.97849,37.572408,core,pharmacy,약국,처방/약국,24.89,83.9,17.8,34.8,0,0,1,0,0,8,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-14,baseline_trip_cust_001_0006,6,2025-11-14 13:15:00,2025-11-14 14:04:06,126.978004,37.566349,126.977795,37.566404,core,home,자택,귀가,16.29,49.1,19.9,30.3,0,0,0,0,0,5,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-16,baseline_trip_cust_001_0007,7,2025-11-16 14:30:00,2025-11-16 15:05:36,126.977784,37.566732,126.981119,37.558854,buffer,market,마트,생활 장보기,18.74,35.6,31.6,53.1,0,0,0,0,0,4,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-19,baseline_trip_cust_001_0008,8,2025-11-19 15:40:00,2025-11-19 17:12:18,126.990678,37.577942,126.978253,37.566664,core,clinic,병원,진료/검진,27.53,92.3,17.9,33.0,0,0,0,0,0,8,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-22,baseline_trip_cust_001_0009,9,2025-11-22 18:35:00,2025-11-22 20:03:24,126.977926,37.566326,126.980752,37.558896,core,market,마트,생활 장보기,25.2,88.4,17.1,35.0,0,0,0,0,0,7,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
cust_001,driver_001,stable_local_low_mileage,scenario_stable_local_low_mileage_01,market_loop,20260507,baseline,2025-11,11,2025-11-25,baseline_trip_cust_001_0010,10,2025-11-25 19:15:00,2025-11-25 20:21:00,126.977941,37.56654,126.977511,37.567048,core,home,자택,귀가,19.13,66.0,17.4,39.0,0,0,0,0,0,7,0,0,0,0,none,baseline_cust_001_2025_11,pre_policy_60_day_baseline,평가기간 전 60일 주행으로 1월 생활권 기준을 생성함
